,,Shem,ec7b,Luke,2,"man: mouth,said,speak: me,I",
58,,Siloam,ebb1,Luke,2,"Hand: to,forward: village: many: neighbor: house: near",
,,smooth,ec9a,Luke,1,many: good: straight,
,,storehouse,ec43,Luke,1,"house: eat,food,meal: mouth,said,speak: thing",
,,Susanna,ec7c,Luke,2,woman: good: flower,
,,Terah,ec7d,Luke,2,man: goat: sheep: bone: soft,
,,think_opinion,e06c,Luke,1,"know,knowledge: head: face",thought:mind:think:think_wonder
,,think_wonder,e06c,Luke,1,"know,knowledge: head: face",thought:mind:think:think_opinion
,,threshing_floor,ec42,Luke,1,"house: split,divide,division,separate: grain,wheat",
,,Tiberius,ec3d,Luke,2,man: river,
,,Trachonitis,ec3f,Luke,2,"hard: no,not: soft: land,ground,earth",
,,tribulation,e03e,Luke,1,"cross: very: hurt,pain: knife,cut: heart",persecute:persecution
,,winnowing_fork,ec41,Luke,1,"grain,wheat: air: tool",
,,Zacchaeus,ec7e,Luke,2,"man: pure,clean: wet,water: good",
,,Zarephath,ec7f,Luke,2,metal: village: many: neighbor: house: near,
