,"Aaron
,"bow_arrow
(ecc8)",,"bowl
(e384)",,"box
(e29e)",,"boy
(e001)",
,"boys
(e002)",,"Bozrah
(efec)",,"branch
(e246)",,"brave
(e196)",
,"bread
(e05d)",,"break
(e0e1)",,"breastplate
(ecd5)",,"breath
(ecee)",
,"bribe
(ebdb)",,"brick
(eefb)",,"bride
(e015)",,"bright
(e21b)",
,"bring
(e088)",,"bronze
(eb2c)",,"brother
(e006)",,"brothers
(e007)",
,"build
(e17a)",,"building
(e0a1)",,"burden
(ec86)",,"burn
(ecd0)",
,"bury
(e0d7)",,"but
(e11a)",,"buy
(e32a)",,"Buz
(e1a5)",
,"Caesar
(e370)",,"Caesarea
(e346)",,"Caiaphas
(ea77)",,"Cainan
(ec56)",
,"Calah
(edc6)",,"call
(e040)",,"camel
(e29f)",,"Cana
(eba2)",
,"Canaan_land
(e33d)",,"Canaan_man
(edc7)",,"Candice
(eb85)",,"Capernaum
(e33a)",
,"Caphtorites
(edc8)",,"Cappadocia
(eb74)",,"careful
(e19e)",,"carpenter
(e14f)",
,"Carpus
(ecad)",,"case
(ec87)",,"catch
(e115)",,"Cauda
(ec36)",
,"cave
(eda6)",,"Cenchrea
(eb3d)",,"census
(e0b8)",,"centurion
(eb7a)",
,"ceremony
(ec88)",,"chain
(e25f)",,"chair
(e298)",,"Chaldea
(eb0e)",
,"change
(e31e)",,"chapter
(e230)",,"chariot
(ec82)",,"child
(e200)",
,"children
(e201)",,"Chios
(eb22)",,"Chloe
(ebe2)",,"choose
(e021)",
,"Chorazin
(ea8f)",,"Christ
(e334)",,"Christian
(eb90)",,"church
(ebfc)",
,"Chuza
(ec57)",,"Cilicia
(eb5b)",,"circumcize
(e250)",,"citizen
(eb98)",
,"Claudia
(ecae)",,"Claudius
(eb8a)",,"clay
(ebec)",,"clean
(e248)",
,"Clement
(ece3)",,"Cleopas
(ec58)",,"cloak
(ea76)",,"Clopas
(ebb5)",
,"closed
(e23f)",,"clothe
(e147)",,"clothing
(e253)",,"cloud
(e26e)",
,"Cnidus
(ec14)",,"cohort
(e148)",,"cold
(e0f2)",,"color
(e284)",
,"Colossae
(ece8)",,"come
(e25a)",,"comfort
(ea3b)",,"command
(e058)",
,"complete
(ecec)",,"concubine
(eefc)",,"condemn
(ea7f)",,"confuse
(eb08)",
,"control
(e332)",,"Corinth
(ea59)",,"Cornelius
(eb81)",,"corner
(eb83)",
,"cornerstone
(e21c)",,"correct
(e09a)",,"Cosam
(ec59)",,"couch
(eb5f)",
,"council
(e0f7)",,"country
(e0a2)",,"countrymen
(e157)",,"countryside
(eb96)",
,"courtyard
(e0f6)",,"covenant
(e21d)",,"cover
(e39a)",,"cow
(eb36)",
,"creation
(ebc3)",,"Creator
(ec22)",,"Crescan
(ecaf)",,"Crete
(ec8d)",
,"Crispus
(eb3a)",,"crooked
(eb39)",,"cross
(e038)",,"crowd
(e128)",
,"crown
(eda4)",,"crucify
(e03c)",,"crush
(e146)",,"cry
(e20c)",
