,ec80,ancestor
,e076,make
,e077,sew
,e078,needle
,e079,shade
,e07a,share
,e07b,steal
,e07c,stewardship
,e07d,sow
,e27a,seed
,e07e,put
,e07f,need
,e080,go_down
,e081,lift
,e082,harvest
,e083,have
,e084,heal
,e085,hide
,e086,give
,e087,blood
,e088,bring
,e089,lost
,e08a,strong
,e124,power
,e08b,wash
,e248,clean
,e0e4,beat
,e08d,use
,e08e,serve
,e08f,sin
,e090,righteous
,e107,before
,e091,prepare
,e092,easy
,e207,sad
,e093,difficult
,e094,pretend
,e17f,deceive
,e180,impossible
,e095,miracle
,e097,perfume
,e098,possible
,e099,keep
,e09a,correct
,e09b,worth
,e09c,true
,e09d,fix
,e09e,better
,e09f,alive
,e100,amen
,e101,find
,e103,beast
,e104,dog
,e108,gathered
,e109,what
,e10a,under
,e10b,through
,e10c,touch
,e10d,side
,e10e,slave
,e10f,soul
,e110,above
,e111,if
,e112,in_front
,e113,on
,e114,everything
,e115,catch
,e116,behind
,e117,beside
,e118,between
,e119,bottom
,e11a,but
,e11b,about
,e11c,and
,e11d,after
,e11e,away
,e125,they
,e126,together_people
,e127,people
,e128,crowd
,e129,world
,e12a,tax_collector
,e12b,teacher
,e12c,writer
,e12d,servant
,e12e,shoe
,e12f,soldier
,e130,godly
,e131,paralyze
,e133,sower
,e134,preacher
,e135,prophet
,e136,messenger
,e137,lead
,e138,kneel
,e139,harvester
,e13a,help
,e13b,hire
,e13c,holy
,e13d,foot
,e13e,follow
,e13f,evangelist
,e140,everyone
,e141,kill
,e142,disciple
,e143,body
,e144,doctor
,e145,prisoner
,e146,crush
,e147,clothe
,e148,cohort
,e149,shout
,e14a,amazed
,e14b,boast
,e14c,staff
,e14d,ocean
,e14e,arm
,e14f,carpenter
,e150,helper
,e151,sinner
,e152,deceiver
,e154,grow
,e155,everywhere
,e156,wilderness
,e157,countrymen
,e158,foreigner
,e159,earthquake
,e27d,shake
,e15a,where
,e15b,dirt
,e15c,root
,e15d,dust
,e15e,year
,e160,Sabbath
,e161,sundown
,e162,show
,e163,morning
,e164,lamp
,e165,denarius
,e167,us
,e169,Baal_Hanan
,e16b,winter
,e16c,until
,e16d,past
,e16e,future
,e16f,patient
,e170,endure
,e172,prison
,e173,neighbor
,e174,member
,e175,lease
,e176,family
,e177,adopt
,e181,dead
,e178,tomb
,e179,foundation
,e17a,build
,e17b,abide
,e182,worse
,e183,tempt
,e184,other
,e185,quiet
,e186,secret
,e187,spirit
,e188,dry
,e189,old
,e23f,closed
,e18a,open
,e18b,mystery
,e18c,immeasurable
,e18d,famine
,e18e,fast_no_eat
,e18f,forgive
,e190,futile
,e191,deaf
,e192,blind
,e193,disobey
,e194,doubt
,e195,betray
,e196,brave
,e197,far
,e199,more
,e19a,village
,e208,hair
,e209,health
,e20a,sick
,e20b,festival
,e20c,cry
,e20d,Passover
,e20e,grateful
,e20f,skull
,e210,bow
,e317,descend
,e269,hard
,e26a,rock
,e37a,promise
,e24f,pain
,e24c,with
,e239,lust
,e23a,watchtower
,e23b,prophesy
,e23d,human_nature
,e240,in
,e241,out
,e242,enter
,e243,leave
,e245,myrrh
,e246,branch
,e249,dirty
,e24a,baptize
,e24d,according_to
,e26b,flesh
,e250,circumcise
,e252,always
,e254,curtain
,e255,leather
,e257,stumble
,e258,run
,e259,dance
,e25a,come
,e25c,bird
,e25d,rooster
,e25e,dove
,e261,discourage
,e262,encourage
,e264,fisherman
,e266,stern
,e267,sail
,e26c,pillow
,e26d,gentle
,e26e,cloud
,e26f,bag
,e270,sheep
,e271,shepherd
,e273,evening
,e275,wine
,e276,full
,e277,empty
,e278,fill
,e27b,thorn
,e27f,vineyard
,e281,lampstand
,e283,war
,e285,white
,e286,purple
,e287,red
,e289,gate
,e28a,hedge
,e297,unity
,e318,forward
,e319,down
,e31a,from
,e31b,around
,e31c,stretch
,e31d,flip
,e31e,change
,e31f,transfiguration
,e320,repent
,e321,deep
,e322,arise
,e323,direction
,e324,lower_adj
,e325,backward
,e326,divide
,e327,throw
,e328,wave
,e329,resurrect
,e32a,buy
,e32b,sell
,e32c,stand
,e32d,leaven
,e32e,smaller
,e32f,move
,e330,against
,e331,hour
,e332,control
,e333,trouble
,e334,Christ
,e335,Satan
,e336,John_the_Baptist
,e3ca,Elealeh
,e337,Galilee
,e338,Jerusalem
,e339,Judea
,e33a,Capernaum
,e33b,Tyre
,e33c,Sidon_city
,e33d,Canaan_land
,e33e,Decapolis
,e33f,Gadara
,e340,Bethsaida
,e341,Gennesaret
,e342,Syria
,e343,Phoenicia
,e344,Dalmanutha
,e345,Greece
,e346,Caesarea
,e347,Philippi
,e348,Bethphage
,e349,Bethany
,e34a,Gethsemane
,e34b,Golgotha
,e34c,month
,e34d,Arimathea
,e398,stick
,e34e,Nazareth
,e34f,Jordan_River
,e350,Sea_of_Galilee
,e352,Son_of_Man
,e353,Mary_Magdalene
,e355,Herodias
,e356,Simon_Peter
,e357,Andrew
,e358,James_the_Disciple
,e359,Zebedee
,e35a,John
,e35b,Moses
,e35e,David
,e35f,Abiathar
,e360,Herod
,e361,Philip
,e362,Bartholomew
,e363,Thomas
,e364,Simon_the_Canaanite
,e365,Judas_Iscariot
,e366,Legion
,e367,Jairus
,e368,Judas
,e369,Joses
,e36a,Elijah
,e36b,Bartimaeus
,e36c,Timaeus
,e36d,Barabbas
,e36e,Rufus
,e36f,Pilate
,e370,Caesar
,e371,Mark
,e372,Isaiah
,e373,Abraham
,e374,Isaac
,e375,Jacob
,e376,James
,e377,Paul
,e378,Idumea
,e379,Salome
,e37b,Thaddaeus
,e37c,Simon_of_Cyrene
,e37e,period
,e37f,untie
,e380,heaven
,e381,go
,e382,leprosy
,e383,Pharisee
,e0b6,pigeon
,e384,bowl
,e388,shield
,e390,pos
,eb82,Jotham
,eb1b,Levi
,ec3a,Elizabeth
,ec3b,Quirinius
,ec3c,Phanuel
,ec3d,Tiberius_man
,ec44,Eli
,ec45,Melchi
,ec46,Jannai
,ec47,Amos
,ec48,Nahum
,ec49,Esli
,ec4a,Naggai
,ec4b,Maath
,ec4c,Joanan
,ec4f,Adam
