,ec80,ancestor
,efdd,Moriah
,efb4,Rameses
,e1dd,Uz_land
,e1e2,Cush_land
,e1e1,Teman_land
,effd,Masrekah_city
,e3c5,Aroer
,e0d3,neck
,ea21,blessed
,ecc5,horn
,e2ae,Ammihud
,e2af,Ammishaddai
,e2b0,Anak
,e2b2,Caleb
,e2b3,Deuel
,e2b4,Eldad
,e2b5,Eliab
,e2b6,Eliasaph
,e2b7,Elishama
,e2b8,Elizaphan
,e2b9,Enan
,e2ba,Gaddi
,e2bb,Gaddiel
,e2bc,Gemalli
,e2bd,Gideoni
,e2e9,Raphu
,e2eb,Sethur
,e2ec,Shammua
,e1e8,Shaphat
,e2ed,Shedeur
,e2ee,Shelumiel
,e2d3,Sheshai
,e2d4,Sodi
,e2d6,Talmai
,e1f0,Vaphsi
,e1f1,Zaccur
,e1f4,Zuar
,e1f5,Zuriel
,e1f6,Zurishaddai
,e1f7,Abidan
,e1f8,Abihail
,e2f6,Bamoth_man
,e1fa,Elizur
,e1fb,Geuel
,e1fc,Helon
,e1fd,Hobab
,e1fe,Igal
,e1ff,Jephumeh
,e2a1,Lael
,e2a3,Maki
,e2a4,Medad
,e2a5,Michael_man
,e2a6,Nahbi
,e2a7,Okran
,e2a8,Pagiel
,e2a9,Palti
,e2aa,Pedahzur
,e2dd,Abiasaph
,e2de,Abihu
,e2df,Amram
,e2e0,Hur
,e2e1,Ithamar
,e2e2,Libni
,e2e4,Nepheg
,e2e3,Nadab
,e2e5,Sithri
,e2e6,Nun
,e2e8,Uri
,e2dc,Mishael
,e2ef,Dibri
,e2f0,Elzaphan
,e2f1,Shelomith
,e2f2,Uzziel
,e2f3,Abidah
,e2f4,Ahira
,e2f7,Dathan
,e3e2,Azzan
,e3e3,Bukki
,e3e4,Elidad
,e3e5,Hanniel
,e0a8,watchman
,e0a9,sign
,e0c1,guard
,e0c2,light
,e0c3,star
,ebcd,looks_like
,ecde,glass
,e3ae,Heshbon
,e3cc,Jair
,e3d6,Abronah
,e3e0,Agag
,e3e1,Ahihud
,e3e6,Ain
,e3d7,Akrabbim
,e3d8,Almon_Diblathaim
,e3d9,Alush
,e3e7,Arad_village
,e3da,Azmon
,e3db,Bene_Jaakan
,e3dc,Beth_Jeshimoth
,e3e8,Dibon_Gad
,e3dd,Dophkah
,e3e9,Ezion_Geber
,e3de,Haradah
,e3df,Hashmonah
,ebad,pavement
,e3a5,Atharim
,e0bc,Asherah
,e0b3,leaf
,ea01,stem
,eb24,flower
,eb25,Rhodes
,ec91,vine
,edcb,Cypress
,efab,Allon_Bakuth
,e3ce,Kenath
,e3eb,Hazar_Enan
,e2fa,Moab_land
,eb05,island
,eb88,Cyprus
,ec17,Adriatic_Sea
,ec19,Malta
,ec25,Samos
,ec36,Cauda
,ec8d,Crete
,ebaf,Sea_of_Tiberias
,ebb3,well
,ebec,clay
,ebf4,Patmos
,ea3e,rain
,ebfb,snow
,edda,Esek
,eed2,Sitnah
,eef9,Beer_Lahai_Roi
,e3a7,Beer
,e1d7,Shibah
,e401,Rissah
,e402,Rithmah
,ecff,different
,e3c9,Beon
,e3ec,Hor_Haggidgad
,eca7,harsh
,ebf3,sharp
,ec77,scorpion
,ec72,plow
,e83d,grind
,ea35,flour
,ea36,dough
,ea37,precious
,ea38,east
,ea39,threshing
,ea3a,poor
,ea3b,comfort
,ea3c,altar
,ea41,Rachel
,ea42,Ramah
,ea44,Egypt
,ea45,Bethlehem
,ea46,Uriah
,ea47,Simon
,ea48,Nain
,ea4b,Judah
,ea4c,Perez
,ea4d,Zerah
,ea4e,Tamar
,ea4f,Hezron
,ea5b,Abijah
,ea5c,Asa
,ea5d,Jehoshaphat
,ea5e,Joram
,ea5f,Uzziah
,ea60,Jothan
,ea61,Ahaz
,ea62,Hezekiah
,ea63,Manasseh
,ea7f,condemn
,ea80,dream
,e0d1,hell
,ea22,half
,eb07,Athens
,eb0a,Parthia
,eb0b,Haran_land
,eb0c,Sea_of_Reeds
,eb0d,Aaron
,eb0e,Chaldea
,eb0f,Midian_land
,eb12,Thessalonica
,eb13,Berea
,eb08,confuse
,ea59,Corinth
,ec15,Salmone
,e406,Shepham
,ea27,stumbling_block
,eb7d,wing
,ecc9,eagle
,ecdf,dragon
,e3f7,Moseroth
,e0c5,Jonah
,e0d5,jar
,ea18,sponge
,ec03,smoke
,eba9,manna
,ebfa,wool
,ecc3,pastor
,ecdc,rainbow
,ecdd,hail_storm
,eefb,brick
,e40a,Terah_land
,e0d6,pour
,ea8d,drunk
,e3d2,Sibmah
,ea33,grass
,ea26,reed
,e2da,chew_cud
,e3d5,Suphah
,e408,Shittim
,eda1,olive
,eda2,fig
,e400,Rimmon_Perez
,ecd5,breastplate
,ecc8,bow_arrow
,eb86,black
,ecd1,green
,ecda,blue
,ecdb,yellow
,efb9,Enaim
,e0b7,number
,e0b8,census
,ebb2,week
,ebe4,free_no_cost
,ecd9,million
,ed0f,tithe
,ebe9,sound
,e40f,Ziphron
,e3f6,Mithkah
,ed00,type
,e2f5,Arnon
,efdf,Nile
,e30b,river
,ecd8,Euphrates_River
,eddf,Gihon
,eeb8,Pishon
,eed6,Tigris
,efca,Jabbok
,e3cb,Eshkol_land
,e304,insect
,ecd4,locust
,e2d7,Valley_of_Eskol
,ecbf,arrow
,ecc1,height
,ecc2,length
,eebf,rib
,eca8,pillar
,e2b1,banner
,eece,Siddim
,eba6,Kidron_Valley
,eba7,valley
,e3bd,Zered
,ec33,religion
,ec98,incense
,ec99,rough
,ec9a,smooth
,e2f9,Kiriath_Huzoth
,ecc4,wide
,ebc0,reckon
,ea31,south
,ea30,Magadan
,e0f4,left
,e0f3,right
,e0b5,sacrifice
,ed11,pn
,e0f8,Simon_the_Leper
,ea08,Jericho
,ea14,Alexander
,ea15,Joseph
,ea32,Solomon
,ea29,Jonah_Simons_father
,ea28,Jeremiah
,e1ac,Diklah
,e1aa,Ezbon
,e1d1,Abram
,e389,Jashub
,e3ee,Jephunneh
,e3f3,Kislon
,e3fc,Parnak
,e3fd,Pedahel
,e403,Salu
,e405,Shelomi
,e407,Shiphtan
,e40b,Vophsi
,e40e,Zimri
,e410,Zur
,e3b4,Mount_Hor
,e1e6,Jegar_Sahadutha
,e351,Mount_of_Olives
,eb5c,Mount_Sinai
,ecf5,Mount_Zion
,edb5,Ararat
,efbc,Galeed
,e0da,Pi_Hahiroth
,e392,Mount_Peor
,e393,Mount_Pisgah
,e3c0,Bamoth_land
,e3f8,Mount_Shepher
,e40d,Zedad
,e83a,become_person
,e0c7,Yahweh
,e0e1,break
,ea09,donkey
,ea3f,Zebulun
,ea49,owe
,ea4a,beauty
,ea50,Ram
,ea51,Amminadab
,ea52,Nahshon
,ea53,Salmon
,ea54,Boaz
,ea55,Rahab
,ea56,Obed
,ea57,Ruth
,ea58,Jesse
,ea5a,Rehoboam
,ea74,north
,ea76,cloak
,ea77,Caiaphas
,ea79,trumpet
,ea7a,Gomorrah
,ea78,Daniel
,ea7b,Samaritan
,ea7c,fool
,ea7d,goat
,ea7e,virgin
,ea84,guilt
,ea81,tribe
,ea83,Samaria
,ea85,ox
,ea86,fat
,ea87,sex
,ea64,Amon
,ea65,Josiah
,ea66,Jechoniah
,ea67,Babylon
,ea6a,Abiud
,ea6b,Eliakim
,ea6c,Azor
,ea70,Eleazar
,ea6d,Zadok
,ea68,Shealtiel
,ea69,Zerubbabel
,ea71,Matthan
,ea6e,Achim
,ea6f,Eliud
,ea8e,Sodom
,ea8f,Chorazin
,ea90,ash
,ea92,Simon_Jesus_Brother
,ea94,greed
,ea95,self
,ea96,Abel
,ea97,Barachiah
,ea98,Zechariah
,ea9d,key
,ea88,lightning
,ea89,west
,ea8a,fox
,ea8b,flute
,ea8c,gluttony
,ea43,Noah
,eb01,sanctuary
,eb16,Rome
,eb17,Aquila
,eb18,Priscilla
,eb19,Sceva
,eb1a,Demetrius
,eb1d,Secundus
,eb1e,Trophimus
,eb1f,Eutychus
,eb20,Assos
,eb21,Mitylene
,eb22,Chios
,eb23,Miletus
,eb26,Mnason
,eb27,shave
,eb28,metal
,eb29,iron
,eb2c,bronze
,ec73,proverb
,e3c6,Ataroth
,eb9f,Paphos
,ea40,Naphtali
,eb3b,Gallio
,eb2d,Zeus
,eb2e,Amphipolis
,eb2f,Hermes_idol
,eb30,Apollonia
,eb31,Attalia
,eb32,tent
,eb33,strangled
,eb36,cow
,eb37,Damaris
,eb38,Titus
,eb39,crooked
,eb3a,Crispus
,eb3c,Sosthenes
,eb3d,Cenchrea
,eb3e,Apollos
,eb3f,Tyrannus
,eb1c,Pyrrhus
,eb40,Manaen
,eb41,Silas
,eb42,Seleucia
,eb43,Derbe
,eb44,Lystra
,eb45,Sergius
,eb46,Galatia
,eb47,Perga
,eb48,Bithynia
,eb49,Kish
,eb4a,Mysia
,eb4b,Benjamin
,eb4c,Samothrace
,eb4e,Neopolis
,eb4f,justify
,eb51,Lycaonia
,eb52,Thyatira
,eb50,Lydia
,eb53,Prochorus
,eb54,Saul
,eb55,Nicanor
,eb56,Nicolaus
,eb57,Parmenas
,eb65,Ananias
,eb66,Sapphira
,eb67,Theophilus
,eb68,Luke
,eb69,Barsabbas
,eb6a,Justus
,eb6b,Stephen
,eb94,try
,ec2f,Barnabas
,ec35,Areopagus
,ebaa,nail
,eca1,Balaam
,ec8e,Freedmen
,ecf0,example
,eda3,Beor
,ede2,Goiim
,eec6,Seir
,e1ad,Ephah
,e1ae,Eri
,e1ab,Ezer
,e1e4,El_Elohe
,e0bd,Baal_Zephon
,e2c3,Massah
,e2e7,Succoth_land
,e2f8,Hormah
,e2fc,Pethor
,e3be,Zophim
,e3d0,Nobah_land
,e3f2,Kinnereth
,e3d1,Kozbi
,e3f4,Libnah
,e3f5,Makheloth
,e3fe,Punon
,e3ff,Riblah
