, ours:mine:my:our
E23C, way:path:road
E240, inside:in
E241, outside:out
E243, leave:come_out:depart
E244, wood:plant:tree
E247, wet:water
E248, pure:clean:perfect
E249, impure:dirty
E24A, baptize:baptism
E24B, same:equal
E24E, knife:cut
E24F, pain:hurt
E250, circumcision:circumcise
E251, whole:all
E252, eternity:always:eternal
E253, fabric:clothing
E25A, visit:come   
E25F, imprisoned:arrest:bound:chain
E260, freedom:free
E26C, pillow:cushion
E26D, gentleness:gentle
E272, night:moon
E274, drink:cup
E279, wheat:grain
E283, war:battle:fight
E298, sit:chair
E299, hear :ear
E29B, some :part 
E29C, write:pen
E301, hot :fire:heat
E309, smell:nose
E30B, stream:river
E30E, tie:knot
E318, to:forward
E31E, turn:change
E31F, transfigure:transfiguration
E320, repentance:repent
E321, depth:deep
E322, ascend:arise
E326, split:divide:division:separate
E329, resurrection:resurrect
E32A, spend:buy
E330, oppose:against
E334, Messiah:Christ
E335, Satan:Beelzebul
E33F, Gerasenes:Gadara
E34B, Joda:Golgotha
E354, Mary_Mother_of_Jesus:Mary
E356, Simon_Peter:Cephas
E35A, John_the_Disciple:John
E35D, idol:Alphaeus
E368, Jude:Juda :Judas:Judas_not_Iscariot
E381, trip:go :journey:travel
E384, dish:bowl
E386, platter:plate
E397, smallest:least
E83A, convert:become_person
E83B, stay:remain
EA16, lots:Lasea:lot
EA47, Simon:Simeon
EA4A, beauty:beautiful
EA7F, condemnation:condemn
EA80, vision:dream
EA84, guilty:guilt
EB02, Hannah:Anna
EB03, Joshua:Jason:Jesus_not_Christ
EB14, victory:prevail:triumph
EB32, tent:tabernacle
EB44, Lystra:Levite
EB5D, Hamor:Emmor
EB73, Put:Libya
EB7D, wings:wing
EB90, Christian:Believer
EB91, field:farm
EBC0, reckon:counted:credit
EBCD, example_pattern:Apelles
EBE3, drum:cymbal
EBE7, priority:important:order
EBE9, sound:noise
EBF2, other:another:next
EC03, smoke:Jezebel
EC20, Sosipater:Sopater
EC32, Ethiopia:Cush
EC33, sect:religion
EC36, Clauda:Cauda
EC44, Heli:Eli
EC6F, Nathaniel:Nathan
EC81, Pentecost:pentecost
EC87, trial:case
ECA7, stern_words:harsh
