,,Dorcus,ec2c,Acts,2,woman: horse,
,,Drusilla,eb9c,Acts,2,"woman: wet,water",
,,Elam,eb6d,Acts,2,"time,when: land,ground,earth",
,,elder,eb62,Acts,1,"no,not: new: lead,leader: to,forward: person",
,,Emmor,eb5d,Acts,2,man: donkey: small: horse,Hamor
,,Ephesus,ec0c,Acts,2,"love,compassion: village: many: neighbor: house: near",
,,Epicurean,eco5,Acts,2,"person: happy,joy: purpose,because,reason,therefore: know,knowledge: ?",
,,Erastus,ec0e,Acts,2,"man: send: hand: to,forward",
,,Ethiopia,ec32,Acts,2,"all,whole: moon,night: land,ground,earth",Cush
,,eunuch,eb8f,Acts,1,"very: circumcise,circumcision: knife,cut: flesh: soft: person",
,,Euthychus,eb1f,Acts,2,"man: rest,lie_down,sleep",
,,exalt,e04b,Acts,1,"mouth,said,speak: good",worship:praise
,,Fair_Haven,ec18,Acts,2,good: boat: village: many: neighbor: house: near,
,,farewell,ec83,Acts,1,"end,finish: mouth,said,speak: happy,joy",
,,farm,eb91,Acts,1,"grain,wheat: land,ground,earth",field
,,Felix,eb99,Acts,2,"man: big: money,wealth,wealthy",
,,field,eb91,Acts,1,"grain,wheat: land,ground,earth",farm
7,,finger,eba5,Acts ,1,,
,,foreknowledge,eb79,Acts,1,"know,knowledge: thing: backward",
,,forest,ec27,Acts,1,"land,ground,earth: many: plant,tree,wood",
,,Freedman,ec8e,Acts,2,"man: free,freedom",
,,gain,e1a3,Acts,1,"to,forward: hand: love,compassion",receive
,,Gaius,ec0f,Acts,2,"man: happy,joy",
,,Galatia,eb46,Acts,2,"around: land,ground,earth",
,,Gallio,eb3b,Acts,2,"man: cup,drink",
,,Gaza,eb7f,Acts,2,"strong: ability,can,power: hand: big: knife: village: many: neighbor: house: near",
,,good_news,e22b,Acts,1,"book,learn,read: good",gospel
,,ground_soil,e15b,Acts,1,"land,ground,earth",soil:dirt
,,Hamor,eb5d,Acts,2,"man: donkey: small,few: horse",Emmor
,,Haran,eb0b,Acts,2,"dry: no,not: wet,water: land,ground,earth",
,,Hebrew,ec8f,Acts,2,"person: land,ground,earth: book,learn,read",
,,Hermes,eb2f,Acts,2,"no,not: near: bad: good: spirit: person",
,,Iconium,ec1f,Acts,2,"go,travel,trip: village: many: neighbor: house: near",
,,idol,e35d,Acts,1,"silence,quiet: no,not: mouth,said,speak: thing",
,,iron,eb29,Acts,1,"hard: no,not: soft: metal",
,,island,eb05,Acts,1,"wet,water: land,ground,earth",
,,Italy,ec90,Acts,2,"shoe: person: thing: land,ground,earth",
,,Jason,eb03,Acts,2,man: help: straight: people,Joshua:Jesus_not_Christ
,,Joel,ec92,Acts,2,"man: land,ground,earth",
,,Joppa,ec2d,Acts,2,"beautiful,beauty: good: eye,see: village: many: neighbor: house: near",
,,journey,e381,Acts,1,,trip:go:travel
,,Julius,ec07,Acts,2,"man: crooked: no,not: straight: hair: face",
,,justify,eb4f,Acts,1,"make: hand: person: righteous,righteousness: good: work,do",
,,Justus,eb6a,Acts,2,"man: righteous,righteousness: good: work,do",
,,Kish,eb49,Acts,2,man: catch: thing: net,
,,knock,eb8b,Acts,1,hand: door,
,,Lasea,ea16,Acts,2,hair: face: village: many: neighbor: house: near,lots:lot
,,letter,eb84,Acts,1,"small,few: book,read,learn",
,,Levite,eb44,Acts,2,"money,wealth,wealthy: village: many: neighbor: house: near",Lystra
,,Libya,eb73,Acts,2,"death,dead,die: no,not: heart: land,ground,earth",Put
,,Lucius,ec93,Acts,2,"man: mouth,said,speak",
,,Luke,eb68,Acts,2,"man: light: eye,see: day,sun",
,,Lycaonia,eb51,Acts,2,"dog: small,few: animal: land,ground,earth",
