0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ue11e', 'e11e', 'away', 'longe']
['\uea6c', 'ea6c', 'Azor', 'Azor']
['\ueb7e', 'eb7e', 'Azotus', 'Azoto']
['\uebbf', 'ebbf', 'Baal', 'Baal']
['\ue0a6', 'e0a6', 'baby', 'bebê']
['\uea67', 'ea67', 'Babylon', 'Babilônia']
['\ue325', 'e325', 'backward', 'em_sentido_contrário']
['\ue17d', 'e17d', 'bad', 'mau']
['\ue26f', 'e26f', 'bag', 'saco']
['\ueca1', 'eca1', 'Balaam', 'Balaão']
['\uebff', 'ebff', 'Balak', 'Balaque']
['\uec55', 'ec55', 'bank', 'banco']
['\ue24a', 'e24a', 'baptism', 'batismo']
['\ue24a', 'e24a', 'baptize', 'batizar']
['\uec89', 'ec89', 'Bar_Jesus_not_Christ', 'Bar_Jesus_não_Cristo']
['\ue36d', 'e36d', 'Barabbas', 'Barrabás']
['\uea97', 'ea97', 'Barachiah', 'Baraquias']
['\ued02', 'ed02', 'Barak', 'Baraque']
['\uec2f', 'ec2f', 'Barnabas', 'Barnabé']
['\ueb69', 'eb69', 'Barsabbas', 'Barsabbas']
['\ue362', 'e362', 'Bartholomew', 'Bartolomeu']
['\ue36b', 'e36b', 'Bartimaeus', 'Bartimaeus']
['\ue19f', 'e19f', 'basket', 'cesta']
['\ue283', 'e283', 'battle', 'batalha']
['\uecef', 'ecef', 'bear', 'suportar']
['\ue227', 'e227', 'bear_with', 'tolerar']
['\ue103', 'e103', 'beast', 'besta']
['\ue0e4', 'e0e4', 'beat', 'batimento']
['\uea4a', 'ea4a', 'beautiful', 'belo']
['\uea4a', 'ea4a', 'beauty', 'beleza']
['\ue066 ', 'e066', 'because', 'porque']
['\ue040', 'e040', 'beckon', 'acenar']
['\ue83a', 'e83a', 'become_person', 'Tornar-se_pessoa']
['\ue839', 'e839', 'become_thing', 'Tornar-se_uma_coisa']
['\ue122', 'e122', 'bed', 'cama']
['\ue335 ', 'e335', 'Beelzebul', 'Beelzebul']
['\ue107', 'e107', 'before', 'antes']
['\ue21e', 'e21e', 'beg', 'implorar']
['\ue231', 'e231', 'beginning', 'começar']
['\ue116', 'e116', 'behind', 'atrás']
['\ue06f', 'e06f', 'believe', 'crer']
['\ueb90', 'eb90', 'Believer', 'Crente']
['\ue29d', 'e29d', 'belt', 'cinto']
['\ueb4b', 'eb4b', 'Benjamin', 'Benjamim']
['\ueda3', 'eda3', 'Beor', 'Beor']
['\ueb13', 'eb13', 'Berea', 'Bereia']
['\ueb9e', 'eb9e', 'Bernice', 'Berenice']
['\ue117', 'e117', 'beside', 'ao_lado']
['\ue21f', 'e21f', 'best', 'melhor']
['\ue349', 'e349', 'Bethany', 'Beânia']
['\ueba0', 'eba0', 'Bethesda', 'Betesda']
['\uea45', 'ea45', 'Bethlehem', 'Belém']
['\ue348', 'e348', 'Bethphage', 'Betfagé']
['\ue340', 'e340', 'Bethsaida', 'Betsaida']
['\ue195', 'e195', 'betray', 'trair']
['\ue195', 'e195', 'betrayal', 'traição']
['\ue09e', 'e09e', 'better', 'melhor']
['\ue118', 'e118', 'between ', 'entre']
['\ue22c', 'e22c', 'Bible', 'Bíblia']
['\ue120', 'e120', 'big', 'grande']
['\ue25c', 'e25c', 'bird', 'pássaro']
['\ue235', 'e235', 'birth', 'nascimento']
