"","stewardship","e07c","mayordomía",,
"","sow","e07d","sembrar",,
"","to_plant","e07d","plantar",,
"","put","e07e","poner",,
"","have_to","e07f","tener_que",,
"","need","e07f","necesidad",,
"","go_down","e080","hacia_abajo",,
"","lower_verb","e080","bajar_verbo",,
"","lift","e081","levantar",,
"","harvest","e082","cosecha",,
"","have","e083","tener ",,
"","heal","e084","sanar",,
"","hide","e085","esconder",,
"","for","e086","para",,
"","give","e086","dar",,
"","blood","e087","sangre",,
"","bring","e088","traer",,
"","carry","e088","cargar",,
"","take","e088","tomar",,
"","lost","e089","perdido",,
"","strong","e08a","fuerte",,
"","wash","e08b","lavar",,
"","do","e08c","hacer",,
"","work","e08c","trabajo",,
"","use","e08d","uso",,
"","useful","e08d","útil",,
"","serve","e08e","servir",,
"","lawlessness","e08f","anarquía",,
"","sin","e08f","pecado",,
"","sinful","e08f","pecaminoso",,
"","unrighteous","e08f","injusto",,
"","unrighteousness","e08f","injusticia",,
"","righteous ","e090","justo",,
"","righteousness","e090","justicia",,
"","righteousness","e090","rectitud",,
"","prepare","e091","preparar",,
"","easy","e092","fácil",,
"","difficult","e093","difícil",,
"","pretend","e094","pretender",,
"","miracle","e095","milagro",,
"","good","e096","bueno",,
"","fragrant","e097","fragante",,
"","perfume","e097","perfume",,
"","possible","e098","posible",,
"","keep","e099","guardar",,
"","correct","e09a","corregir",,
"","yes","e09a","sí ",,
"","value","e09b","valorar",,
"","worth","e09b","valor",,
"","worthy","e09b","digno",,
"","true ","e09c","verdadero",,
"","truth","e09c","verdad",,
"","fix","e09d","arreglar",,
"","better","e09e","mejor",,
"","alive","e09f","vivo",,
"","life","e09f","vida",,
"","live","e09f","vivir",,
"","building","e0a1","edificio",,
"","country","e0a2","país",,
"","nation","e0a2","nación",,
"","governor","e0a3","gobernador",,
"","proconsul","e0a3","procónsul",,
"","abomination","e0a4","abominación ",,
"","pregnant","e0a5","embarazada",,
"","baby","e0a6","bebé",,
"","angel","e0a7","ángel",,
"","watchman","e0a8","centinela",,
"","sign","e0a9","señal",,
"","teeth ","e0b1","dientes",,
"","bone","e0b2","hueso",,
"","leaf","e0b3","hoja",,
"","vendor","e0b4","vendedor",,
"","sacrifice","e0b5","sacrificio",,
"","pigeon","e0b6","paloma",,
"","number","e0b7","número",,
"","census","e0b8","censo",,
"","synagogue","e0b9","sinagoga",,
"","guard","e0c1","guardia",,
"","light","e0c2","luz",,
"","star","e0c3","estrella",,
"","summer","e0c4","verano",,
"","Jonah","e0c5","Jonás",,
"","Nineveh","e0c6","Nínive",,
"","Yahweh","e0c7","Yahvé",,
" ","stomach","e0c8","estómago    ",,
"","Sheol","e0c9","Sepulcro",,
"","hell","e0d1","infierno",,
"","fulfill","e0d2","satisfacer",,
"","neck","e0d3","cuello",,
"","alabaster","e0d4","alabastro",,
"","jar","e0d5","frasco",,
"","pour","e0d6","echar",,
"","bury","e0d7","enterrar",,
"","remember","e0d8","recordar",,
"","level","e0d9","nivel",,
"","stair","e0d9","escalera",,
"","break","e0e1","romper",,
"","Psalm","e0e2","Salmo",,
"","sing","e0e2","cantar",,
"","song","e0e2","canto",,
"","hymn","e0e3","himno",,
"","beat","e0e4","golpear",,
"","hit","e0e4","pegar",,
"","deny","e0e5","negar",,
"","weigh","e0e6","pesar",,
"","weight","e0e6","peso",,
"","heavy","e0e7","pesado",,
"","kiss","e0e8","beso",,
"","robber","e0e9","pillo",,
"","thief","e0e9","ladrón",,
"","young","e0f1","joven",,
"","cold","e0f2","frío",,
"","right","e0f3","derecha",,
"","left","e0f4","izquierda",,
"","deserve","e0f5","merecer",,
"","earn","e0f5","ganar",,
"","courtyard","e0f6","patio",,
"","council","e0f7","consejo",,
"","Simon_the_Leper","e0f8","Simón_el_leproso",,
"","Jew","e0f9","Judio",,
"","Jewish","e0f9","Judíos ",,
"","amen","e100","amén",,
"","find","e101","encontrar",,
"","animal","e102","animal",,
"","beast","e103","bestia",,
"","dog","e104","perro",,
"","thing","e105","cosa",,
"","or","e106","o ",,
"","before","e107","antes",,
"","gathered_things","e108","cosas_reunidas",,
"","together_things","e108","cosas_juntas",,
"","what","e109","qué",,
"","under","e10a","debajo",,
"","pass","e10b","pasar",,
"","through","e10b","a_través_de",,
"","touch","e10c","tocar",,
"","side","e10d","lado",,
"","side","e10d","costado",,
"","slave","e10e","esclavo",,
"","soul","e10f","alma",,
"","above","e110","encima",,
"","over","e110","por_encima_de",,
"","if","e111","si_bien",,
"","if","e111","aunque",,
"","in_front","e112","enfrente_de",,
"","in_front","e112","delante_de",,
"","on","e113","sobre",,
"","on_top_of","e113","encima_de",,
"","everything","e114","toda_cosa",,
"","catch","e115","capturar",,
"","behind","e116","detrás",,
"","beside","e117","al_lado",,
"","between ","e118","entre",,
"","bottom","e119","por_abajo",,
"","but","e11a","pero",,
"","about","e11b","acerca",,
"","and","e11c","y",,
"","after","e11d","después",,
"","away","e11e","lejos",,
"","person","e11f","persona",,
"","big","e120","grande",,
"","lie_down","e121","acostarse",,
"","rest","e121","descanso",,
"","sleep","e121","dormir",,
"","bed","e122","cama",,
"","mattress","e122","colchón",,
"","peace","e123","paz",,
"","ability","e124","habilidad",,
"","can","e124","puede",,
"","power","e124","poder",,
"","them","e125","los",,
"","they","e125","ellos",,
"","gathered_people","e126","gente_reunida",,
"","together_people","e126","gente_junta",,
"","people","e127","gente",,
"","crowd","e128","muchedumbre",,
"","multitude","e128","multitud",,
"","world","e129","mundo",,
"","tax_collector","e12a","recaudador_de_impuestos",,
"","teacher","e12b","maestro",,
"","author ","e12c","autor",,
"","scribe","e12c","escribano",,
"","writer","e12c","escritor ",,
"","deacon","e12d","diácono",,
"","servant","e12d","sirviente",,
"","shoe","e12e","zapato",,
"","soldier","e12f","soldado",,
"","godly","e130","devoto",,
"","righteous_person","e130","persona_justa",,
"","saint","e130","santo",,
"","paralyze","e131","paralizar",,
"","farmer","e133","granjero",,
"","sower","e133","sembrador",,
"","preacher","e134","predicador",,
"","prophet","e135","profeta",,
"","messenger","e136","mensajero",,
"","lead","e137","llevar",,
"","leader","e137","líder",,
"","manage","e137","administrar",,
"","kneel","e138","arrodillarse",,
"","harvester","e139","cosechador",,
"","harvester","e139","segador",,
"","help","e13a","ayuda",,
"","help","e13a","socorro",,
"","hire","e13b","contratar",,
"","holy","e13c","sagrado",,
"","foot","e13d","pie",,
"","follow","e13e","seguir",,
"","evangelist","e13f","evangelista",,
"","everyone","e140","toda_persona",,
"","destroy","e141","destruir",,
"","destruction","e141","destrucción",,
"","kill","e141","matar",,
"","disciple","e142","discípulo",,
" ","body","e143","cuerpo",,
"","doctor","e144","doctor",,
"","healer","e144","sanador",,
"","prisoner","e145","prisionero",,
"","crush","e146","aplastar",,
"","clothe","e147","vestir",,
"","to_clothe","e147","cubrir",,
"","army","e148","ejército",,
"","cohort","e148","cohorte",,
"","shout","e149","grito",,
"","amazed","e14a","asombrado",,
"","amazing","e14a","asombroso",,
"","great","e14a","estupendo",,
"","boast","e14b","alardear",,
"","pride","e14b","orgullo",,
"","proud","e14b","orgulloso",,
"","staff","e14c","bastón",,
"","ocean","e14d","océano",,
"","sea","e14d","mar",,
"","arm","e14e","brazo",,
"","carpenter","e14f","carpintero ",,
"","attendant","e150","encargado",,
"","helper","e150","ayudante",,
"","sinner","e151","pecador",,
"","deceiver","e152","impostor",,
"","hypocrite","e152","hipócrita",,
"","earth","e153","planeta_tierra",,
"","ground","e153","suelo",,
"","land","e153","terreno",,
"","grow","e154","crecer",,
"","growth","e154","crecimiento",,
"","ripen","e154","madurar",,
"","everywhere","e155","en_todas_partes",,
"","desert","e156","desierto",,
"","wilderness","e156","tierra_virgen",,
"","countrymen","e157","campesino",,
"","foreigner","e158","extranjero",,
"","gentile","e158","gentil ",,
"","gentile","e158","no_judío",,
"","sojourner","e158","morador",,
"","earthquake","e159","terremoto",,
"","where","e15a","dónde",,
"","dirt","e15b","barro",,
"","ground_soil","e15b","suelo_de_la_tierra",,
"","soil","e15b","tierra ",,
"","root","e15c","raíz",,
"","dust","e15d","polvo",,
"","year","e15e","año ",,
"","day","e15f","día",,
"","sun","e15f","sol",,
"","sabbath","e160","sabbat ",,
"","sundown","e161","atardecer",,
"","appear","e162","aparecer",,
"","reveal","e162","revelar",,
"","show","e162","mostrar",,
"","morning","e163","la_mañana",,
"","lamp","e164","lámpara",,
"","denarius","e165","denario",,
"","I","e166","Yo",,
"","me","e166","yo",,
"","us","e167","nosotros",,
"","we","e167","nosotros",,
"","time","e16a","tiempo",,
"","when","e16a","cuando",,
"","winter","e16b","invierno ",,
"","until","e16c","hasta",,
"","past","e16d","pasado",,
"","future","e16e","futuro",,
"","longsuffering","e16f","paciencia",,
"","patience","e16f","paciencia",,
"","patient","e16f","paciente ",,
"","endure","e170","aguantar",,
"","house","e171","casa",,
"","prison ","e172","prisión",,
"","neighbor","e173","vecino",,
"","member","e174","miembro ",,
"","lease","e175","contrato_de_arrendamiento",,
"","family","e176","familia",,
"","relative","e176","familiares",,
"","adopt","e177","adoptar",,
"","adoption","e177","adopción ",,
"","grave","e178","sepultura",,
" ","tomb","e178","tumba",,
"","foundation","e179","fundación",,
"","build","e17a","construir",,
"","abide","e17b","soportar",,
"","dwell","e17b","morar ",,
"","no","e17c","no",,
"","not","e17c","no",,
"","bad","e17d","malo",,
"","wild ","e17e","salvaje",,
"","deceive","e17f","engañar",,
"","deception","e17f","engaño",,
"","false ","e17f","falso",,
"","lead_astray","e17f","llevar_por_mal_camino",,
"","lie ","e17f","mentira",,
"","impossible","e180","imposible",,
"","dead","e181","muerto",,
"","death","e181","muerte",,
"","die","e181","morir",,
"","worse","e182","peor ",,
"","tempt","e183","tentar",,
"","temptation","e183","tentación",,
"","other","e184","otro",,
"","that","e184","que",,
"","quiet","e185","silencioso",,
"","silence","e185","silencio",,
"","secret","e186","secreto",,
"","whisper","e186","susurro",,
"","spirit","e187","espíritu",,
"","dry","e188","seco",,
"","old","e189","viejo",,
"","open","e18a","abierto",,
"","mystery","e18b","misterio",,
"","immeasurable","e18c","inconmensurable",,
"","famine","e18d","hambruna",,
"","fast_no_eat","e18e","ayuno_no_comer",,
"","forgive","e18f","perdonar",,
