,Aaron,eb0d,Arão
,Cenchrea,eb3d,Cencreia
,census,e0b8,censo
,centurion,eb7a,centurião
,Cephas,e356,Cefas
,ceremony,ec88,cermônia
,chair,e298,cadeira
,Chaldea,eb0e,Caldéia
,change,e31e,mundança
,chapter,e230,capítulo
,chariot,ec82,carruagem
,child,e200,criança
,children,e201,crianças
,Chios,eb22,Quios
,Chloe,ebe2,Cloé
,choose,e021,escolher
,Chorazin,ea8f,Corazim
,Christ,e334,Cristo
,church,ebfc,igreja
,Chuza,ec57,Cuza
,Cilicia,eb5b,Cilícia
,circumcise,e250,circuncidar
,citizen,eb98,cidadão
,Claudia,ecae,Cláudia
,Claudius,eb8a,Cláudio
,clay,ebec,argila
,clean,e248,limpo
,Clement,ece3,Clemente
,Cleopas,ec58,Cleopas
,cloak,ea76,capa
,Clopas,ebb5,Clopas
,close,e300,fechar
,closed,e23f,fechado
,clothe,e147,vestir
,clothing,e253,roupas
,cloud,e26e,nuvem
,Cnidus,ec14,Cnido
,cold,e0f2,frio
,color,e284,Cor
,Colossae,ece8,Colossa
,come,e25a,vir
,come_out,e243,sair
,comfort,ea3b,conforto
,command,e058,comando
,commandment,e22f,mandamento
,compassion,e01a,compaixão
,complete,ecec,completo
,condemn,ea7f,condenar
,confession,e03f,confissão
,confuse,eb08,confundir
,continue,e049,continuar
,control,e332,controlar
,Corinth,ea59,Corinto
,Cornelius,eb81,Cornélio
,corner,eb83,esquina
,cornerstone,e21c,A_pedra_angular
,correct,e09a,corrigir
,Cosam,ec59,Cosã
,couch,eb5f,sofá
,council,e0f7,concílio
,counted,ebc0,contado
,country,e0a2,país
,countrymen,e157,compatriotas
,countryside,eb96,região_rural
,courtyard,e0f6,pátio
,covenant,e21d,pacto
,cover,e39a,cobrir
,covet,e022,cobiçar
,cow,eb36,vaca
,create,e076,criar
,creation,ebc3,criação
,Creator,ec22,Criador
,Crescan,ecaf,Crescan
,Crete,ec8d,Creta
,Crispus,eb3a,Crispo
,crooked,eb39,torcido
,cross,e038,cruz
,crowd,e128,multidão
,crown,eda4,coroa
,crucify,e03c,crucificar
,crush,e146,esmagar
,cry,e20c,chorar
,cup,e274,copo
,curse,e05a,maldição
,curtain,e254,cortina
,Cush,ec32,Cuxe
,cushion,e26c,amortecer
,custom,eb10,costume
,cut,e24e,cortar
,cymbal,ebe3,címbalo
,Cyprus,eb88,Chipre
,Cyrene,eb59,Cirene
,Dalmanutha,e344,Dalmanuta
,Dalmatia,ecb1,Dalmatía
,Damaris,eb37,Dâmaris
,Damascus,ec31,Damasco
,dance,e259,danzar
,Daniel,ea78,Daniel
,dark,ea17,escuro
,daughter,e00c,filha
,daughters,e00d,filhas
