,Aaron,eb0d,Arão
,ring,ebdf,anel
,river,e30b,rio
,robber,e0e9,ladrão
,rock,e26a,rocha
,Rome,eb16,Roma
,room,eb06,quarto
,rooster,e25d,galo
,root,e15c,raiz
,rough,ec99,rude
,Rufus,e36e,Rufo
,run,e258,corre
,Ruth,ea57,Rute
,Sabbath,e160,sábado
,sacrifice,e0b5,sacrifício
,Sadducee,ea03,Saduceus
,sail,e267,vela
,Salamis,ebe1,Salamina
,Salathiel,ec76,Salatiel
,Salim,ebae,Salim
,Salmon,ea53,Salmom
,Salmone,ec15,Salmona
,Salome,e379,Salomé
,salt,e046,sal
,salvation,eb80,salvação
,Samaria,ea83,Samaria
,Samaritan,ea7b,Samaritana
,Samos,ec25,Samos
,Samothrace,eb4c,Samotrácia
,Samson,ed06,Sansão
,Samuel,eb8e,Samuel
,sanctuary,eb01,santuário
,sand,ecfd,areia
,Sapphira,eb66,Safira
,Sarah,ebd5,Sara
,Sardis,ebf7,Sardes
,Saul,eb54,Saul
,savior,ec85,salvador
,scatter,ea34,dispersar
,Sceva,eb19,Ceva
,scorpion,ec77,escorpião
,Scythia,eceb,Cita
,Sea_of_Galilee,e350,Mar_da_Galileia
,Sea_of_Reeds,eb0c,Mar_de_Vermelho
,Sea_of_Tiberias,ebaf,Tiberíades
,seal,e221,selo
,search,e074,procurar
,secret,e186,secredo
,Secundus,eb1d,Secundo
,seed,e27a,semear
,Seleucia,eb42,Selêucia
,self,ea95,mesmo
,sell,e32b,vender
,Semien,ec9e,Not_found
,send,e075,enviar
,Sergius,eb45,Sérgio
,Serug,ec78,Serugue
,servant,e12d,servo
,serve,e08e,servir
,Seth,ec79,Sete
,seven,e292,sete
,sew,e077,costurar
,sex,ea87,sexo
,shade,e079,sombra
,shake,e27d,agitar
,share,e07a,compartilhar
,Sharon,ec2b,Sarom
,sharp,ebf3,afiado
,shave,eb27,barbear
,Shealtiel,ea68,Sealtiel
,Shechem_city,ec95,Siquém
,sheep,e270,ovelha
,Shelah,ec7a,Selá
,Shem,ec7b,Sem
,Sheol,e0c9,Inferno
,shepherd,e271,pastor
,shield,e388,escudo
,shoe,e12e,sapato
,shout,e149,gritar
,side,e10d,lado
,Sidon_city,e33c,Sidom
,sigh,e047,suspiro
,sign,e0a9,sinal
,Silas,eb41,Silas
,Siloam_city,ebb1,Siloé
,Silvanus,eca9,Silvano
,silver,eb2b,prata
,Simeon,ea47,Simeão
,Simon_Jesus_Brother,ea92,Simão_irmão_de_Jesus
,Simon_of_Cyrene,e37c,Simão_de_Cirene
,Simon_the_Canaanite,e364,Simão_o_Zelote
,Simon_the_Leper,e0f8,Simão_o_Leproso
,sinner,e151,pecador
,sister,e00e,irmã
,sisters,e00f,irmãs
,six,e291,seis
,skull,e20f,crânio
,sky,ec8b,céu
,slave,e10e,escravo
,slow,e19c,lento
,smaller,e32e,menor
,smoke,ec03,fumaça
,smooth,ec9a,suave
,Smyrna,ebf5,Esmirna
,snake,e30c,serpente
,snow,ebfb,neve
,Sodom,ea8e,Sodoma
,soft,e268,suave
,soldier,e12f,soldado
,Solomon,ea32,Salomão
,son,e004,filho
,Son_of_Man,e352,Filho_do_Homem
,sons,e005,filhos
,Sopater,ec20,Sópatro
,sorcery,ec8c,feitiçaria
,Sosthenes,eb3c,Sóstenes
,soul,e10f,alma
,south,ea31,sul
,sow,e07d,semear
,Spain,ebd6,Espanha
,spice,ecfe,apimentar
,spirit,e187,espírito
,spit,e048,cuspir
,sponge,ea18,esponja
,spy,ed07,espião
,Stachys,ebd7,Estáquis
,staff,e14c,pessoal
,stand,e32c,ficar_de_pé
,star,e0c3,estrela
,steal,e07b,roubar
,stem,ea01,haste
,Stephanas,ebea,Estéfanas
,Stephen,eb6b,Estêvão
,stern,e266,severo
,stewardship,e07c,mordomia
,stick,e398,vara
,Stoic,ec06,estóico
,stomach,e0c8,estômago
,stop,e073,parar
,storehouse,ec43,armazém
,storm,e27c,tempestade
,straight,e313,direito
,stranger,e069,desconhecido
,strangled,eb33,estrangulado
,stretch,e31c,esticar
,string,ecc7,corda
,strong,e08a,forte
,stumble,e257,tropeçar
,stumbling_block,ea27,predra_de_tropeço
,suffer,e222,sofrer
,summer,e0c4,verão
,sundown,e161,pôr_do_sol
,Susanna,ec7c,Suzana
,sweet,e30d,doce
,sword,e282,espada
,synagogue,e0b9,sinagoga
,Syntyche,ece6,Síntique
,Syracuse,ec1c,Siracusa
,Syria,e342,Síria
,tabernacle,eb32,tabernáculo
,table,e280,mesa
,tail,ecd6,cauda
,Tamar,ea4e,Tamar
,Tarsus,ec30,Tarso
,taste,ea07,provar
,tax,e02b,imposto
,tax_collector,e12a,coletor_de_imposto
,teach,e04c,ensinar
,teacher,e12b,professor
,teeth,e0b1,dente
,temple,e03d,templo
,tempt,e183,tentado
,ten,e295,dez
,Terah_man,ec7d,Tera
,Tertius,ebee,Tércio
,Tertullus,eb9b,Tértulo
,test,ec21,teste
,testimony,e22e,testemunho
,Thaddaeus,e37b,Tadeu
,them,e125,eles
,Theophilus,eb67,Teófilo
,Thessalonica,eb12,Tessalônica
,Theudas,eb71,Teudas
,thigh,ed0d,coxa
,thing,e105,coisa
,thirst,eccf,sede
,this,e226,esta
,Thomas,e363,Tomé
,thorn,e27b,espinho
,thousand,e296,mil
,three,e28e,três
,threshing,ea39,debulha
,threshing_floor,ec42,eira
,throne,ec84,trono
,throw,e327,lançar
,thunder,e044,trovão
,Thyatira,eb52,Tiatira
,Tiberias_city,ebb0,Tiberíades
,Tiberius_man,ec3d,Tibério
,Timaeus,e36c,Timeu
,time,e16a,tempo
,Timon,ec96,Timão
,Timothy,ec02,Timóteo
,tithe,ed0f,dízimo
,Titus,eb38,Tito
,tongue,e045,língua
,tool,eb34,ferramenta
,touch,e10c,tocar
,tower,e30f,torre
,Trachonitis,ec3f,Traconites
,transfiguration,e31f,transfiguração
,tribe,ea81,tribu
,Troas,ec0b,Trôade
,Trophimus,eb1e,Trófimo
,trouble,e333,problema
,true,e09c,verdadeiro
,trumpet,ea79,trompete
,trust,e023,confiar_em
,try,eb94,experimentar
,Tryphaena,ebd8,Trifena
,Tryphosa,ebd9,Trifosa
,twin,ec1b,gêmeo
,two,e28d,dois
,Tychicus,ecbb,Tíquico
,Tyrannus,eb3f,Tirano
,Tyre,e33b,Tiro
,under,e10a,debaixo
,understand,e063,entender
,unity,e297,unidade
,unleavened,e043,não_levedado
,untie,e37f,desatar
,until,e16c,até
,up,e315,acima
,Urbanus,ebda,Urbano
,Uriah,ea46,Urias
,us,e167,nos
,use,e08d,usar
,Uzziah,ea5f,Uzias
,valley,eba7,vale
,value,e09b,valor
,vendor,e0b4,vendedor
,very,e211,muito
,village,e19a,vila
,vine,ec91,vinho
,vineyard,e27f,vinhedo
,virgin,ea7e,virgem
,voice,e042,voz
,waist,e391,cintura
,wait,ea11,esperar
,walk,e256,caminhar
,wall,e288,parede
,wash,e08b,lavar
,watchman,e0a8,guarda
,watchtower,e23a,atalaia
,water,e247,água
,wave,e328,onda
,weak,ea24,fraco
,weary,ebfe,cansado
,wedding,e011,casamento
,week,ebb2,semana
,weigh,e0e6,pesar
,well,ebb3,bem
,west,ea89,oeste
,what,e109,o_que
,where,e15a,onde
,whip,e310,chicote
,white,e285,branco
,who,e1a1,quem
,why,e067,porque
,wide,ecc4,amplo
,widow,e016,viúva
,wife,e014,esposa
,wild,e17e,selvagem
,wind,e220,vento
,window,e311,janela
,wine,e275,vinho
,wing,eb7d,asa
,winnowing_fork,ec41,garfo_de_tração
,winter,e16b,inverno
,wisdom,e064,sabedoria
,with,e24c,com
,woman,e008,mulher
,wool,ebfa,lã
,word,ebb4,palavra
,Word,ebb8,Palavra
,world,e129,mundo
,worm,ea06,minhoca
,Wormwood,ecd3,absinto
,worse,e182,pior
,wrap,ea19,envolver
,wrath_of_God,e02a,ira_de_Deus
,wrong,ea02,errado
,Yahweh,e0c7,Yahweh_Jeová
,year,e15e,ano
,yellow,ecdb,amarelo
,yoke,eb09,jugo
,you,e314,você
,young,e0f1,jovem
,Zacchaeus,ec7e,Zaqueu
,Zadok,ea6d,Zadoque
,Zarephath,ec7f,Sarepta
,Zebedee,e359,Zebedeu
,Zebulun,ea3f,Zebulom
,Zechariah,ea98,Zacarias
,Zenas,ed09,Zenas
,Zerah,ea4d,Zera
,zero,e28b,zero
,Zerubbabel,ea69,Zorobabel
,Zeus,eb2d,Júpiter
,period,e37e,period
,pos,e390,pos
,pn,ed11,pn
